title,slug,youtube_id,playlist_id,url,coverage,color
The Wire,the-wire,UChWtJey46brNr7qHQpN6KLQ,UUhWtJey46brNr7qHQpN6KLQ,https://www.youtube.com/@TheWireNews,national,#5975a4
India Today NE,india-today-ne,UCg1nNKwJIeVUhxbtmqfVmgg,UUg1nNKwJIeVUhxbtmqfVmgg,https://www.youtube.com/@indiatodayne,national,#EADDFF
East Mojo,east-mojo,UC3zMA8hCzeB8ldnFVGX1NFA,UU3zMA8hCzeB8ldnFVGX1NFA,https://www.youtube.com/@EastMojoOfficial,national,#7F67BE
Mojo Story,mojo-story,UCrdPiSPVW0rtRsI002BX8iw,UUrdPiSPVW0rtRsI002BX8iw,https://www.youtube.com/@mojostory,national,#4F378B
News Laundry,news-laundry,UCustbySVJGb659WDpdkeATg,UUustbySVJGb659WDpdkeATg,https://www.youtube.com/@newslaundry,national,#F6EDFF
BBC News India,bbc-news-india,UCF4QKhPMP1JybbkIJzIayww,UUF4QKhPMP1JybbkIJzIayww,https://www.youtube.com/@bbcnewsindia,national,#DC362E
